token           lexeme
------------------------------
Separator       @
Keyword         function
Identifier      area
Separator       (
Identifier      w
Keyword         integer
Separator       ,
Identifier      h
Keyword         integer
Separator       )
Separator       {
Keyword         return
Identifier      w
Operator        *
Identifier      h
Separator       ;
Separator       }
Keyword         function
Identifier      perimeter
Separator       (
Identifier      w
Keyword         integer
Separator       ,
Identifier      h
Keyword         integer
Separator       )
Separator       {
Keyword         return
Integer         2
Operator        *
Identifier      w
Operator        +
Integer         2
Operator        *
Identifier      h
Separator       ;
Separator       }
Separator       @
Keyword         integer
Identifier      width
Separator       ,
Identifier      height
Separator       ,
Identifier      choice
Separator       ;
Keyword         boolean
Identifier      running
Separator       ;
Separator       @
Identifier      running
Operator        =
Keyword         true
Separator       ;
Keyword         read
Separator       (
Identifier      width
Separator       )
Separator       ;
Keyword         read
Separator       (
Identifier      height
Separator       )
Separator       ;
Keyword         while
Separator       (
Identifier      running
Operator        ==
Keyword         true
Separator       )
Separator       {
Keyword         read
Separator       (
Identifier      choice
Separator       )
Separator       ;
Keyword         if
Separator       (
Identifier      choice
Operator        ==
Integer         1
Separator       )
Keyword         write
Separator       (
Identifier      area
Separator       (
Identifier      width
Separator       ,
Identifier      height
Separator       )
Separator       )
Separator       ;
Keyword         fi
Keyword         if
Separator       (
Identifier      choice
Operator        ==
Integer         2
Separator       )
Keyword         write
Separator       (
Identifier      perimeter
Separator       (
Identifier      width
Separator       ,
Identifier      height
Separator       )
Separator       )
Separator       ;
Keyword         fi
Keyword         if
Separator       (
Identifier      choice
Operator        ==
Integer         3
Separator       )
Identifier      running
Operator        =
Keyword         false
Separator       ;
Keyword         fi
Separator       }
Keyword         write
Separator       (
Identifier      running
Separator       )
Separator       ;
Separator       @
