token           lexeme
------------------------------
Separator       @
Separator       @
Keyword         integer
Identifier      n
Separator       ,
Identifier      i
Separator       ,
Identifier      total
Separator       ;
Separator       @
Keyword         read
Separator       (
Identifier      n
Separator       )
Separator       ;
Identifier      total
Operator        =
Integer         0
Separator       ;
Identifier      i
Operator        =
Integer         1
Separator       ;
Keyword         while
Separator       (
Identifier      i
Operator        <=
Identifier      n
Separator       )
Separator       {
Identifier      total
Operator        =
Identifier      total
Operator        +
Identifier      i
Separator       ;
Identifier      i
Operator        =
Identifier      i
Operator        +
Integer         1
Separator       ;
Separator       }
Keyword         write
Separator       (
Identifier      total
Separator       )
Separator       ;
Separator       @
